,year_film,year_ceremony,ceremony,category,name,film,winner,rating,genre,sentiment,subjectivity,average_likes,average_retweets,film_count,nominee_count
0,1927,1928,1,ACTOR,Richard Barthelmess,The Noose,False,None,drama,0.2864047619047619,0.4703174603174603,1.2999999999999998,0.7,1,1
1,1927,1928,1,ACTOR,Emil Jannings,The Last Command,True,3.97,war,0.26227777777777783,0.3092222222222222,4.2,0.8,2,1
2,1927,1928,1,ACTRESS,Louise Dresser,A Ship Comes In,False,2.66,drama,0.616784523809524,0.5281051587301588,3.3000000000000003,1.0,1,1
3,1927,1928,1,ACTRESS,Janet Gaynor,7th Heaven,True,3.68,romance,0.2476904761904762,0.35860714285714285,14.2,1.5000000000000002,5,1
4,1927,1928,1,ACTRESS,Gloria Swanson,Sadie Thompson,False,3.55,romance,0.5470833333333334,0.3940277777777777,11.799999999999999,2.1,1,1
5,1927,1928,1,ART DIRECTION,Rochus Gliese,Sunrise,False,3.29,drama,0.2311904761904762,0.3293253968253968,1.9000000000000001,0.0,4,1
6,1927,1928,1,ART DIRECTION,William Cameron Menzies,The Dove,True,None,romance,0.13301136363636365,0.47462121212121205,12.299999999999999,2.3000000000000003,1,2
7,1927,1928,1,ART DIRECTION,Harry Oliver,7th Heaven,False,3.68,romance,0.2476904761904762,0.35860714285714285,14.2,1.5000000000000002,5,1
8,1927,1928,1,CINEMATOGRAPHY,George Barnes,The Devil Dancer,False,None,drama,0.1308181818181818,0.21766666666666667,0.5,0.0,1,1
9,1927,1928,1,CINEMATOGRAPHY,Charles Rosher,Sunrise,True,3.29,drama,0.2311904761904762,0.3293253968253968,1.9000000000000001,0.0,4,1
10,1927,1928,1,CINEMATOGRAPHY,Karl Struss,Sunrise,True,3.29,drama,0.2311904761904762,0.3293253968253968,1.9000000000000001,0.0,4,1
11,1927,1928,1,DIRECTING (Comedy Picture),Lewis Milestone,Two Arabian Knights,True,3.14,adventure,0.6553125,0.3984722222222222,4.0,0.8,1,1
12,1927,1928,1,DIRECTING (Comedy Picture),Ted Wilde,Speedy,False,3.80,family,0.18354166666666666,0.5929166666666668,4.9,0.4,1,1
13,1927,1928,1,DIRECTING (Dramatic Picture),Frank Borzage,7th Heaven,True,3.68,romance,0.2476904761904762,0.35860714285714285,14.2,1.5000000000000002,5,1
14,1927,1928,1,DIRECTING (Dramatic Picture),Herbert Brenon,Sorrell and Son,False,None,drama,0.095,0.0811111111111111,0.0,0.0,1,1
15,1927,1928,1,DIRECTING (Dramatic Picture),King Vidor,The Crowd,False,4.08,drama,0.268030612244898,0.5345680272108844,17.900000000000002,1.1,2,1
16,1927,1928,1,ENGINEERING EFFECTS,Ralph Hammeras,,False,,,,,,,6,1
17,1927,1928,1,ENGINEERING EFFECTS,Roy Pomeroy,Wings,True,3.68,romance,0.4045694444444444,0.3690555555555555,2.0000000000000004,0.1,2,1
18,1927,1928,1,ENGINEERING EFFECTS,Nugent Slaughter,,False,,,,,,,6,1
19,1927,1928,1,OUTSTANDING PICTURE,The Caddo Company,The Racket,False,3.01,crime,0.3262857142857143,0.2808639455782313,1.9000000000000001,0.4,1,1
20,1927,1928,1,OUTSTANDING PICTURE,Fox,7th Heaven,False,3.68,romance,0.2476904761904762,0.35860714285714285,14.2,1.5000000000000002,5,2
21,1927,1928,1,OUTSTANDING PICTURE,Paramount Famous Lasky,Wings,True,3.68,romance,0.4045694444444444,0.3690555555555555,2.0000000000000004,0.1,2,2
22,1927,1928,1,UNIQUE AND ARTISTIC PICTURE,Fox,Sunrise,True,3.29,drama,0.2311904761904762,0.3293253968253968,1.9000000000000001,0.0,4,2
23,1927,1928,1,UNIQUE AND ARTISTIC PICTURE,Metro-Goldwyn-Mayer,The Crowd,False,4.08,drama,0.268030612244898,0.5345680272108844,17.900000000000002,1.1,2,1
24,1927,1928,1,UNIQUE AND ARTISTIC PICTURE,Paramount Famous Lasky,Chang,False,0,0,0.19025000000000003,0.17605555555555558,4.6,0.9,1,2
